date,email,type,amount,balance,category,details
2024-06-13,customer3@mail.com,credit,26.0,448.0,other,"Williams, Bullock and Wilson"
2024-06-13,customer3@mail.com,credit,6.0,442.0,other,Murphy Group
2024-06-14,customer3@mail.com,credit,28.0,414.0,medicine,Warner-Mclean
2024-06-15,customer3@mail.com,credit,177.0,237.0,car maintenance,Jordan Ltd
2024-06-22,customer3@mail.com,deposit,2000.0,2237.0,salary,NewEra
2024-06-22,customer3@mail.com,credit,700.0,1537.0,apartment rent,Johnny James
2024-06-22,customer3@mail.com,credit,56.0,1481.0,education,Taylor-Anderson
2024-06-22,customer3@mail.com,credit,14.0,1467.0,fuel,Young LLC
2024-06-22,customer3@mail.com,credit,23.0,1444.0,groceries,"Jones, Golden and Johnson"
2024-06-22,customer3@mail.com,credit,155.0,1289.0,car maintenance,"Rice, Chavez and Sanders"
2024-06-22,customer3@mail.com,credit,32.0,1257.0,other,Jackson Inc
2024-06-23,customer3@mail.com,credit,16.0,1241.0,services,Anderson LLC
2024-06-23,customer3@mail.com,credit,13.0,1228.0,household,"Butler, Johnson and Hernandez"
2024-06-23,customer3@mail.com,credit,92.0,1136.0,restaurants,"Martinez, Wang and Church"
2024-06-23,customer3@mail.com,credit,56.0,1080.0,groceries,Castro-Johnson
2024-06-23,customer3@mail.com,credit,92.0,988.0,restaurants,Harvey and Sons
2024-06-24,customer3@mail.com,credit,52.0,936.0,groceries,Rodriguez Inc
2024-06-24,customer3@mail.com,credit,53.0,883.0,medicine,"Blair, Rosales and Andrews"
2024-06-24,customer3@mail.com,credit,21.0,862.0,other,Campbell LLC
2024-06-24,customer3@mail.com,credit,3.0,859.0,public transport,Schultz-Brown
2024-06-24,customer3@mail.com,credit,37.0,822.0,groceries,Horton-Young
2024-06-25,customer3@mail.com,credit,8.0,814.0,taxi,Moran PLC
2024-06-25,customer3@mail.com,credit,80.0,734.0,insurance,Moore Inc
